| Military and Security | Georgia |
| --- | --- |
| Military expenditures: | 2.23% of GDP (2016) |
| Military expenditures: | 2.34% of GDP (2015) |
| Military expenditures: | 2.26% of GDP (2014) |
| Military expenditures: | 2.53% of GDP (2013) |
| Military expenditures: | 3.1% of GDP (2012) |
| Military branches: | Georgian Armed Forces: Land Forces (include Air and Air Defense Forces); separatist Abkhazia Armed Forces: Ground Forces, Air Forces; separatist South Ossetia Armed Forces (2015) |
| Military branches: | note: Georgian naval forces have been incorporated into the Coast Guard, which is part of the Ministry of Internal Affairs rather than the Ministry of Defense |
| Military service age and obligation: | 18 to 27 years of age for compulsory and voluntary active duty military service; conscript service obligation is 12 months (2017) |
| Military - note: | Georgia does not have any military stationed in the separatist territories of Abkhazia and South Ossetia, but large numbers of Russian servicemen have been stationed in these regions since the 2008 Russia-Georgia War |
