| Military | Argentina |
| --- | --- |
| Military branches: | Argentine Army (Ejercito Argentino), Navy of the Argentine Republic (Armada Republica; includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA) (2013) |
| Military service age and obligation: | 18-24 years of age for voluntary military service (18-21 requires parental consent); no conscription; if the number of volunteers fails to meet the quota of recruits for a particular year, Congress can authorize the conscription of citizens turning 18 that year for a period not exceeding one year (2012) |
| Manpower available for military service: | males age 16-49: 10,038,967 |
| Manpower available for military service: | females age 16-49: 9,959,134 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 8,458,362 |
| Manpower fit for military service: | females age 16-49: 8,414,460 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 339,503 |
| Manpower reaching militarily significant age annually: | female: 323,170 (2010 est.) |
| Military expenditures: | 0.5% of GDP (2012) |
| Military - note: | the Argentine military is a well-organized force constrained by the country's prolonged economic hardship; the country has recently experienced a strong recovery, and the military is implementing a modernization plan aimed at making the ground forces lighter and more responsive (2008) |
