| Military | Taiwan |
| --- | --- |
| Military branches: | Army, Navy (includes Marine Corps), Air Force, Coast Guard Administration, Armed Forces Reserve Command, Combined Service Forces Command, Armed Forces Police Command |
| Military service age and obligation: | 19-35 years of age for male compulsory military service; service obligation - 2 years; women may enlist; women in Air Force service are restricted to noncombat roles; reserve obligation to age 30 (Army); the Ministry of Defense is in the process of implementing a voluntary enlistment system over the period 2010-2015, although nonvolunteers will still be required to perform alternative service or go through 4 months of military training (2010) |
| Manpower available for military service: | males age 16-49: 6,183,567 |
| Manpower available for military service: | females age 16-49: 6,006,676 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 5,074,173 |
| Manpower fit for military service: | females age 16-49: 4,951,088 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 166,190 |
| Manpower reaching militarily significant age annually: | female: 155,306 (2010 est.) |
| Military expenditures: | 2.2% of GDP; note - in 2009, the Taiwanese president pledged to maintain defense spending at 3.0% or higher; projected 2.73% for 2011 (2009) |
